en,vi,description
Thoughtivity,Hoạt động Tư duy,Dịch sách Thoughtivity for Kids (Đăng)
training session,buổi học/giờ chơi,Dịch sách Thoughtivity for Kids (Thắng)
magician,pháp sư,Dịch sách Thoughtivity for Kids (Thắng)
productive activity,hoạt động tạo nội dung,Dịch sách Thoughtivity for Kids (Phương)
magical,"thần kỳ, nhiệm màu",Dịch sách Thoughtivity for Kids (Đăng)
Magical road,con đường Phép thuật,Dịch sách Thoughtivity for Kids (Đăng)
RA,bài tập thực tế (real assignment),Dịch sách Thoughtivity for Kids (Thắng)
IA,bài tập tưởng tượng (imaginary assignment),Dịch sách Thoughtivity for Kids (Thắng)
morphological analysis,phân tích hình thái,Dịch sách Thoughtivity for Kids (Đăng)
focal object,đối tượng tiêu điểm,Dịch sách Thoughtivity for Kids (Đăng)
